书名,作者,出版社,关键词,摘要,中国图书分类号,出版年月
世界著名联合封锁作战点评,娄国才等,北京长征出版社,封锁军事战例分析世界,封锁战，是指为切断据守一方与外界的陆、海、空、天、电和网的联系，阻断其能源、物资供应和信息传输，迫其就范的一种战略作战方法。其目的是震慑对方，为作战的胜利创造条件控制某一时空域，限制或阻断对方的行动。封锁战按封锁空间可分为陆上封锁战、海上封锁战、空中封锁战、太空封锁战和信息封锁战。按封锁规模进行区分可分为战略性封锁、战役性封锁和战术性封锁。按封锁范围可分为全面封锁和局部封锁。按封锁手段可分为障碍封锁、兵力封锁、信息封锁、活力封锁和综合封锁。,E,2012.03
世界著名城市作战点评,李伟等,北京长征出版社,城市作战战例分析世界,一提到城市，人们自然会想到高大的楼房、宽阔的马路、整齐的街道、掩映的绿树、稠密的人群以及发达的商业。当然，城市的特征远不止这些。作为人类文明里程碑的标记，城市代表着一个国家或地区的文明水平，代表着国家的财富和权利，是一个国家或地区的政治、经济、科学文化、军事中心与交通枢纽。城市是一个蕴涵信息和情报的宝藏，蕴藏着巨大的战争潜力，在军事斗争中具有重要的战略、战役意义，是达成战争目的的重要手段，有时甚至是最后手段。正因为如此，自从城市出现以来，以城市为主要场所进行的战争行动城市战就与战争相随相伴。,E,2012.03
世界著名登陆作战点评,陆建飞等,北京长征出版社,登陆作战战例分析世界,抓住未来渡海登陆作战跳动的脉搏基于信息系统的体系战以非接触远程精确打击为主要行动注重夺取和保持战场综合控制权采取多维一体快速联合登陆的方式。,E,2012.03
世界著名边境作战点评,李明亮等,北京长征出版社,战例分析世界,边境战争，是相邻或相关国家在两国或两国以上边境地区进行的武装斗争。它是人类战争史的重要组成部分。边境，又称陆地边境，是指相邻两国或两国以上紧靠边界线附近的地带。通常是一个国家为捍卫领土不受侵犯，维护边界线附近地区安全和社会稳定，在靠近边界线附近人为地划定一个区域。在这个区域内，通常以边界线为主，建有各种军事设施，部署一定军事力量，社会管理也具有半军事化的性质，出入这个地区需要当地公安等部门的许可等。,E,2012.03
世界著名海上作战点评,张京等,北京长征出版社,海战战例分析世界,海洋是生命的摇篮、资源的宝库、文明的通道，人类的生存和发展与海洋息息相关。海洋也是风雨的故乡、争夺的场所、战争的舞台，国家的繁荣与强盛密切相连。谁控制了海洋，谁就控制了一切，年前古希腊海洋学家米斯托克利的预言，到了今天仍然是至理名言。自古以来，人类围绕海洋的争斗一刻也没有停息过，而通过海战解决问题，也一直是永恒不变的基本方式。翻开历史的篇章，许多重大的海战曾经改变了一些国家的命运，也改变了历史的进程。,E,2012.03
世界著名特种作战点评,罗志华等,北京长征出版社,特殊环境下作战战例分析世界,由于各国军队赋予特种部队的任务繁重，内容不尽相同，对特种作战的认识也有一定得差异，特别是各国的内卫部队已被人们普遍称作特种部队，其警戒、反恐等行动也被视为特种作战行动，使特种作战表现出了许多内容丰富的行动，内涵和外延涵盖的范围存在不同的差异。因此，各国、各地区关于特种作战的基本定义自然也就不同，部分国家军队在不同时期、不同条令中对特种作战界定都有所不同。,E,2012.03
中国军事速查手册彩图版,李志坚编,北京中国书店,战略进攻,本书遴选了中国军事史上意义重大、影响深远的军事故事，包括先秦、秦汉、魏晋南北朝、隋唐五代、宋元、明清、民国和现代时期的军事，涉及兵器、著名战役、风云人物、军事典籍、战略战术等方面。引领读者步入异彩纷呈的军事博物馆，开始一段愉快的读书之旅。,E,2007.02
孙子兵法图文本,战国孙武,南京凤凰出版社,兵法中国春秋时代,本书在传统的十家注的基础上，撇开书中过时的军事实例的纠缠，结合学界最新研究成果，对全书重加注评，总结体会孙子思想的精神实质，形成灵活运用的基本原则和理念。并配上精美的插图，以满足广大读者的悦读需求。,E,2007.12
信息化战争新闻舆论战,姜兴华,北京长征出版社,新闻工作学科舆论学科应用学科战争学科研究新闻工作舆论心理战,本书作者依托十余年来几场高技术战争，从我国军事新闻传播的实际出发，从前沿领域的高度，对信息化战争新闻舆论战的特征、传媒及进程等进行系统研究，还对我军如何面对未来信息化战争新闻舆论战进行了思考和研究。,E,2006.11
活解活用孙子兵法,司马智人编,北京中国致公出版社,孙子兵法孙子兵法兵法地点中国年代春秋时代兵法,本书对孙子兵法进行诠释和解读，每一篇都包括原典、译文、解读和应用四部分。,E,2005.08
孙子兵法,陈曦译注,北京中华书局,兵法中国春秋时代孙子兵法译文孙子兵法注释,孙子兵法，俗称为孙子，汉书艺文志著录为吴孙子兵法，它是现存我国历史上的第一部兵书。现在的传世本共有计、作战、谋攻、形、势、虚实、军争、九变、行军、地形、九地、火攻、用间十三篇。其内容博大精深，理论高度概括，逻辑缜密严谨，实践层出不穷，不但是我国古典军事文化遗产中的璀璨瑰宝，而且也是我国优秀传统文化宝库中的重要组成部分。孙子兵法作为中国古典兵学的杰出代表，它有一个非常全面而完整的体系，体现了战争与政治、经济、文化等各方面的关系。,E,2015.01
马骏解读孙子兵法,马骏,北京中华书局,孙子兵法研究兵法中国春秋时代,本书依中央电视台百家讲坛马骏解读孙子兵法讲座的讲稿整理而成，讲座分为讲，每讲约计字数六千字，从现代社会的角度，运用历史资料，详细讲解了孙子兵法的内容，及现代价值。作者讲孙子兵法，不是对兵法原文逐字逐句的解读，而是将全书完全打乱，提取书中最精髓的战争思想，结合古今中外的经典战例以及生活案例等，对孙子兵法中最为吸引人的地方进行了挖掘和讲解，富有启示性。,E,2015.01
孙子、吴子箴言录,荆彦周，李俊义编,北京北京广播学院出版社,孙武箴言吴起箴言,本书收入天才、智慧、修身、人才、国家、军事方面的箴言并有注释和译文等。,E,1992.12
孙子兵法三十六计,春秋孙武方丽萍译注,西宁青海人民出版社,孙子兵法学科译文孙子兵法兵法地点中国年代春秋时代兵法,本书内容包括始计篇、作战篇、谋攻篇、军形篇、兵势篇、虚实篇、军争篇、九变篇、行军篇、地形篇、九地篇、火攻篇、用间篇等。,E,2017.02
三十六计应用指南,黄秉荣主编周予香编,北京中国旅游出版社,三十六计学科应用,本书体例为原文、译文和新编部分着重分析各计的核心实质、学习要点及应用方法和诀窍并列举了古今中外成功范例。,E,1992.02
妙计精华,张宪中编写,沈阳辽宁教育出版社,兵法研究中国,本书对中国历史上周文王、姜太公、唐太宗、孙子等著名谋略家的奇谋妙计言论在古文基础上进行通俗编译。,E,1987.12
借刀杀人,余洋主编,北京中国致公出版社,三十六计兵法地点中国年代古代三十六计兵法,借刀杀人是三十六计中的第三计，在军事上是一种利用第三方的力量，争取与第三方结为同盟，一致对敌作战的战术。本书列举了大量的施计案例对其进行了介绍。,E,2001.03
趁火打劫,余洋主编,北京中国致公出版社,三十六计兵法地点中国年代古代三十六计兵法,趁火打劫是三十六计中的第五计，是军事家选择战机所采用的一种谋略。本书列举了大量的施计案例对其进行了介绍。,E,2001.03
三十六计图文本,赵机，其宗编选,北京宗教文化出版社,三十六计学科译文兵法地点中国年代古代三十六计兵法,三十六计包括瞒天过海、借刀杀人、以逸待劳、声东击西、无中生有、笑里藏刀、顺手牵羊、打草惊蛇、调虎离山等三十六条计策。,E,2015.02
诸葛亮的智慧,孙聪编,北京知识出版社,兵法地点中国年代蜀汉,本书精选了清代张澍所编的诸葛亮集中的将苑和便宜十六策两章作了解说该书论述为将之道及治国治军的根本原则。,E,1992.08
连环计,余洋主编,北京中国致公出版社,三十六计兵法地点中国年代古代三十六计兵法,连环计是三十六计中的第三十五计，是多计并用，计计相连，环环相扣，使其自相钳制，借以削弱敌方战斗力的一种谋略。本书列举了大量的施计案例对其进行了介绍。,E,2001.03
孙子兵法直解,萧尚兵注释,杭州浙江文艺出版社,孙子兵法直解兵家中国春秋时代,本书对我国历史上最具代表性的兵法著作孙子兵法作平易简要的注解，令读者易于阅读和理解。,E,2004.06
隆中新对,李炳彦,北京昆仑出版社,军事战略,这是一部军事评论专著，全书以世纪年代中国人民解放军战略调整为背景，建构新时期国防发展战略为重心，评论了世界新军事国际战略格局，提出国防发展、改革进取的宏观对策。,E,2000.01
三十六计应用范例大观,徐庆全，杨学军编,北京中国旅游出版社,三十六计学科应用学科通俗读物兵法地点中国年代古代,本书归总为战胜、敌战、攻战、混战、并战、败战计。它对古本计的原文和按语进行翻译和注释并配以题解和个左右的例子。,E,1993.12
未来战争,肖占中,北京军事谊文出版社,未来战争未来战争,本书内容包括全新概念的未来武器未来战争动物士兵替人作战网络战争世纪信息战争的主要方式等。,E,2000.08
一个人战争,钟忠，王俊岐,北京中国工人出版社,未来战争未来战争,本书内容涵盖一个人战争正迎面而来、一个人战争的历史轨迹、两个女人的战争、恐怖与反恐怖战争、网络战争、超级战争等八部分。,E,2003.09
孙子兵法经典故事,李济生编,深圳海天出版社,孙子兵法应用战争中国古代,本书用大量的中国古代经典战例来说明孙子兵法在军事中的成功运用。,E,2007.06
名将韬略六十六篇,张晓虎，丁放主编,北京华艺出版社,兵法地点中国年代古代,本书编者从中国古代众多兵书战策、著名战例中精选出篇重要文献并分别予以介、示、注、译。,E,1992.06
五轮书日本管理的真正艺术,日宫本武藏李津译,北京企业管理出版社,兵法地点日本年代古代兵法,哈佛商学院指定必修课本世界三大兵法之一本书分为前言与导读、正文两个部分，正文共五章，其主题是讲如何在竞争中求胜，提供了如何抢占先机等求胜之道。,E,2003.05
三十六计,赵立，王世英译评,长春吉林文史出版社,三十六计学科译文三十六计兵法地点中国年代古代兵法,本书是这部兵法通俗读物，提供原文并给出白话文翻译，重点从评点的角度对于各计的语义、语源和用途等、援引古今战例进行论述。,E,2009.04
名家讲解三十六计,崔文良,长春长春出版社,兵法中国古代,本书介绍和评述中国古代有名的三十六计。书中具体内容分为六套，即胜战计、敌战计、攻敌计、混战计、并战计和败战计。,E,2011.06
素书中国谋略第一书典藏版,汉黄石公,北京中国画报出版社,兵法中国秦代,本书分为原始、正道、求人之志、本德宗道、遵义、安礼六章。原书主要是针对从政者，讲如何加强自身的政治素养，讲如何把握道德与谋略关系的一本书。,E,2011.07
孙子兵法,孙子原,长春吉林文史出版社,兵法中国春秋时代兵法,本书共分十三篇，内容包括计篇第一作战篇第二谋攻篇第三形篇第四势篇第五虚实篇第六军争篇第七九变篇第八行军篇第九地形篇第十等。,E,2015.01
赛博战与赛博恐怖主义,新西兰，美,北京电子工业出版社,信息战文集,本书精选了五十余篇信息战方面的研究论文，对世纪的赛博战与赛博恐怖主义进行了全面介绍。全书的主体部分以信息安全控制目标和控制措施为主线，可划分为组织安全、人事安全、系统开发和运营安全、资产访问控制、业务连续性、法律法规遵从等六大部分，涉及信息战中的防御措施、入侵检测、攻击反击手段、应急响应、人员管理、立法等内容。,E,2013.03
三十六计现代释解,释颢,北京经济科学出版社,三十六计注释兵法中国古代,六计或称三十六策，是指中国古代三十六个兵法策略，语源于南北朝，成书于明清。它是根据我国古代卓越,E,2013.08
读孙子兵法学做人做事,马银春编,北京中国档案出版社,人生哲学人生哲学,本书结合孙子兵法，融入现代处世技巧，全面揭示了做人做事的密码，剖析了聪明人做人做事的准则。把本书中的技巧和方法运用到生活中，可使你更好地把握人生的主动，在人生的道路上走得更加扎实，更加稳健，造就自己辉煌的人生。,E,2007.01
孙子兵法解读,林莽主编,合肥黄山书社,兵法中国春秋时代孙子兵法研究,本书以通行本为底本，并参校他本。在精选精校的基础上对书中疑难句段作重点注释，解读力求平实准确，并配有精美插图以释书中之内在意蕴，旨在使优秀传统文化为当代读者所接受。,E,1997.04
历史上的两栖战,北京大陆桥文化传媒编译,北京中国发展出版社,两栖进攻学科战例地点世界年代现代两栖进攻战例,本书选取了世纪以来发生的最具影响力和典型性的两栖作战案例，力求真实再现两栖作战的全过程，重新解读了两栖作战在现代战争中的重要地位。,E,2006.11
孙子兵法,春秋孙武原典曹冈译,呼和浩特内蒙古人民出版社,孙子兵法学科注释孙子兵法兵法地点中国年代春秋时代兵法,中华大方略全书经略策略孙子兵法包括始计、作战、谋攻、军形、兵势、虚实、军争、九变、行军、地形、九地、火攻、用间等十三篇。,E,2015.01
战争攻略,北京大陆桥文化传媒编译,北京中国发展出版社,军事战略学科研究军事战略,传奇经典系列本书通过战争的战局，战争的攻与防、进与退、胜与负、生与死等方面的阐述，解析了决定战争胜负的智谋和攻略。,E,2006.11
计算机军事应用,中央电大八一学院教务部教材编写组编,北京中国友谊出版公司,计算机应用学科军事学科电视大学学科教材,中央电大八一学院教务部教材本书是一部讲述计算机在军事方面应用的电大教材，对促进军队办公自动化较有助益。,E,2006.04
世界兵器大百科,徐井才主编,北京北京教育出版社,武器世界少儿读物,本书共分为七章，主要内容包括枪械一族雷弹展览火炮集群坦克家族导弹基地舰船编队空中战鹰。,E,2012.07
下一场战争可能使用的新型武器,张泽宇等编,北京解放军文艺出版社,未来战争学科武器学科研究未来战争武器,战争随时都可能爆发，下一场战争并不遥远。下一场战争可能使用的海、陆、空、天等新型武器有哪些？这些武器的性能、威力有哪些？致命弱点在哪里？如何辨认、使用和防御？这些武器可能对人类造成的影响有多大？作者将同我们一起关注这些关系人类前途和命运的问题。,E,2001.05
海外新兵器,曾光军，大奇主编,北京长征出版社,武器学科简介地点世界,本书收录了美、苏、英、法、德等国武器装备共项按空战兵器、海战兵器、陆战兵器、电子战兵器分为四个部分。,E,1992.03
世纪美国海上力量,西风编,北京中国市场出版社,战舰介绍美国,本书主要内容包括当代美国海军航空母舰巡洋舰驱洋舰护卫舰潜艇两栖作战舰艇其他舰艇等。,E,2014.01
特战利器特种部队的武器装备,李新生编,南京南京出版社,特种部队学科武器装备地点世界特种部队武器装备,本书介绍了军刀、直升机、导弹、飞机、侦察装备、舰艇、新概念武器、机器人等特种部队的武器装备。,E,2000.09
数字化部队与数字化战场,周林，杨玉修编,北京军事谊文出版社,数字技术学科军事技术数字技术军事技术,本书介绍了什么是数字化部队，美国、英国、法国、德国的数字化部队的发展状况，数字化战场的实质，数字化战场建设的原则等内容。,E,2001.09
电子战与电子战武器,闵克勤等编,北京军事谊文出版社,电子战电子战学科武器装备电子战武器装备,本书介绍了电子战有哪些特点，什么是电子侦察系统、电子进攻系统，光电干扰的方式有哪几种，什么是反辐射导弹等内容。,E,2001.09
海上强力舰艇,曹永胜编,北京西苑出版社,军用船学科简介地点外国军用船,本书精选了当今世界最具代表性的海上兵器军舰，包括潜艇、航空母舰、巡洋舰、驱逐舰等，展示了现代高技术兵器的特征，具有较强的知识性、科学性、可读性。,E,2001.05
空天精尖武器,谭凯家，余同杰编,北京西苑出版社,航天武器学科简介地点外国航天武器,本书以太空和空中飞行的各种航天器和导弹武器为主，重点介绍了世界上最先进的航天器和导弹武器，展示了现代高技术兵器的特征，具有较强的知识性、科学性、可读性。,E,2001.05
信息化军事知识读本,刘粤军主编,北京长征出版社,信息技术学科应用学科军事信息技术军事,本书共分五大部分，分别介绍了当代信息技术及其对军事的影响、信息化武器装备、信息化战争理论及战法、信息化军事保障，以及我军在信息化建设方面的战略构想及实践等内容。,E,2003.12
手枪的故事,蓝凡文化工作室编,上海上海文化出版社,手枪手枪,本书内容包括手枪的故事、遨游传真、信不信由你、榜上经典、附录、旁注六部分，涉及从弓箭火药到手枪、火绳枪的故事等。,E,2002.01
纳粹德国的秘密武器,英罗格福特,北京中国市场出版社,武器介绍德国,本书共分为章，主要内容包括喷气式飞机、火箭动力飞机、组合式飞机和滑翔机、旋翼机、地对地导弹等。,E,2014.08
现代航空母舰,孙诗南编,上海上海科学普及出版社,航空母舰学科基本知识航空母舰,本书介绍收集、分析、整理了国外航空母舰研制、使用的各种材料、从舰船研究设计的角度作了介绍。,E,2000.08
枪,亦斯编写,杭州浙江少年儿童出版社,枪械地点世界枪械,本书收有伯莱塔式半自动手枪、马卡洛夫手枪、式自动步枪、卡宾枪、式冲锋枪、式毫米重机枪等世界上种枪械图集。,E,2006.07
求证身管抛物火炮,周碧松编,太原山西科学技术出版社,火炮地点世界火炮,火炮，这一战争之神是如何形成和发展的？它具有哪些结构？遵循什么原理？今后将如何发展？本书对上述问题做出了简要回答。,E,2003.01
潜艇史,凌翔编,沈阳辽宁少年儿童出版社,潜艇学科军事技术史地点世界潜艇军事技术史,本书介绍了潜艇的诞生、曲曲折折的潜艇航迹、中国潜艇的诞生、现代潜艇纵横等内容并对未来的潜艇进行了展望。,E,2002.03
历史的联姻科技与战争,陈新文，贺少华,太原山西教育出版社,高技术学科应用学科战争学科干部教育高技术战争,科教兴国干部读本本书以战争形态的变化为主线，重点考察了对战争形态的改变有着决定性影响的科技变革的发生、发展情况及其促成战争形态发展变化的大致过程。,E,2002.01
中子弹,吴桂刚编,北京原子能出版社,中子弹学科普及读物,本书内容描写了中子弹提出的历史背景和研制过程深入浅出地介绍了中子弹的原理、内部结构、杀伤效应及防御中子弹的各种方法。,E,1987.11
未来的武器,英贝克特吕原等译,北京原子能出版社,武器学科发展学科研究,著者原题布赖恩贝克特本书简单地概述了核武器、化学武器和生物武器的发展现状及存在的问题提示了未来可能出现的各种新型战略武器。,E,1989.08
太空神箭火箭与导弹,黄南,石家庄河北少年儿童出版社,火箭导弹火箭导弹,本书主要介绍了太空飞行时的运载工具火箭以及导弹的发展历史，包括古代火箭、现代火箭、导弹武器三章内容。,E,2003.09
海底蛟龙世界潜艇发展探秘,王建成，冯梁编,长沙湖南教育出版社,潜艇地点世界潜艇,本书介绍了与潜艇发展密切相关的历史人物，并讲述了形形色色的潜艇战，以及对于潜艇的武备等具体介绍，并且展示了中国的潜艇之路。,E,2002.09
遥指沙场新兵新概念武器,冯长松编,太原山西科学技术出版社,高技术学科应用学科武器高技术武器,本书就如何防备新概念武器的使用，怎样在使用新概念武器的战场上争取主动，立足于不败之地等值得人们关注的问题进行了探讨。,E,2003.01
百科知识全书外国卷武器百科,邹博主编,北京线装书局,武器世界普及读物,你见过航空母舰吗？一艘军舰造价几十亿美金，,E,2011.07
锻剑世纪武器的进步与战争的演变,李大光,北京西苑出版社,武器技术史二十世纪影响战争研究战争史世界,从年到年，中华人民共和国走过了整整年的光辉历程。年，在漫长的人类历史上不过是弹指一挥间，然而，在中华民族发展史上，却是一个亘古未有的辉煌时代。中华民族曾经历过文景、贞观、开元、康乾等盛世，然而，没有一个盛世勘与当今盛世相媲美。新中国成立年来，中国各族人民在中国共产党的英明领导下，完全摆脱了半封建半殖民地的束缚，坚定不移地走社会主义道路，全力推进社会主义革命和建设，在政治、经济、外交、国防、文化、科技、教育等方方面面都取得了举世瞩目的成就，以崭新的面貌巍然屹立于世界的东方，成,E,2000.03
一看就懂的兵器发展大事典,一看就懂丛书编写组编,北京农村读物出版社,武器世界普及读物,阅读本书的三大理由现在高考题越来越注重考核学生综合素质，所以平时积累多方面的基础知识显得尤为重要。学生将来走向社会要具有竞争力，就必须注重培养学生成为具有综合素养的综合性人材。人的全面发展，是整个世纪的要求。本书告诉你你想知道十八般兵器是什么吗？你想知道为什么刺客钟爱匕首吗？你想知道历史上威力巨大的抛石机是什么样子的吗？你想知道蒙古轻骑横扫欧亚靠得是什么武器吗？你想知道所谓改变历史走向的瞄准是怎么回事吗？你想知道航空母舰都能做些什么吗？,E,2009.05
国外警犬训练,王国锋，许赞义主编,沈阳辽宁大学出版社,军犬训练外国军犬,本书主要以英国现行的警犬训练教材为蓝本，增加了美国的箱式搜索、芬兰的水面搜尸、英国的人体搜毒、波兰的人体气味鉴别、德国的全方位搜尸等训练的最新方法。,E,2008.05
中国航母,陈文中,北京中国发展出版社,航空母舰研究中国,这是一部关于中国航母的书稿，对我国的航母做了普及性的介绍，书稿描绘了我国百年海军梦，并介绍我国第一艘航母瓦良格号，并与美国、俄罗斯、法国等航母横向有所比较。本书所采用的资料皆来自国内外公开出版物，不存在泄露国家机密等敏感问题。,E,2012.07
军事运筹学,孙旭主编,北京人民武警出版社,军事运筹学,本书是一本武警部队关于执勤，处突任务处置的军事运筹类著作，分为上下两篇，上篇为基础理论篇，下片为部队本科学员教材。,E,2007.01
新编兵器百科,明强编,成都四川美术出版社,武器学科青少年读物,本书集合了全世界最新的新编兵器百科是一本既全又新，最适合青少年阅读的百科类图书。,E,2006.01
简氏军舰识别指南,英罗伯特哈钦森编郝丽萍等译,太原希望出版社,军用船地点世界军用船,世界军舰完全识别指南全书共分九部分，涵盖了主要的军舰种类，即航空母舰、巡洋舰、驱逐舰、护卫舰、轻型护卫舰、巡逻舰艇、水雷战舰艇等。,E,2003.09
武库探奇,刘林，梁粱主编,北京解放军文艺出版社,武器地点世界武器,本书共分部分，其中包括兵器百科、高新技术、执兵话古、雄师异彩。,E,2001.08
战争武器发展回眸,朱建新等编,沈阳白山出版社,武器地点世界武器,本书图文并茂，精选了外军最先进的武器装备，并结合作战实例，详细阐述了这些武器的技术性能，使用要求，研制历史等方面内容。,E,2003.06
间谍武器大观,褚良才,杭州浙江少年儿童出版社,情报活动武器学科普及读物武器情报活动学科普及读物,本书是一本介绍间谍武器及各种技术手段的普及读物。,E,1991.03
战斗机年至今,简介罗伯特杰克逊曾任飞行员和领航教官，现在是军事、航海及航空领域的全职作家。他共创作了多部作品，其中包括喷火式战斗机作战纪录、夜间空战、海上打击英国皇家海军航空兵的历史、空中堡垒和民航飞机。他目前居住在英国达勒姆郡的达领顿。,北京国际文化出版公司,战斗机战斗机,本书有照片及彩色插图，介绍了世界主要战斗机的研制、特性和作战能力等方面的知识。,E,2012.04
军舰,顾维芳，凌寒羽编,北京中国少年儿童出版社,军用船地点世界军用船,本书以世界军舰发展史为线索，通过生动有趣的故事，引出对古今中外庞大军舰家族成员的介绍，分别讲述了它们的基本性能、作战用途等。,E,2000.07
空中王牌战机,李大光，苗德忠编,北京西苑出版社,军用飞机学科简介地点外国军用飞机,本书精选了当今世界最具代表性的空中兵器，包括战斗机、歼击轰炸机、军事直升机、电子战斗机、无人驾驶飞机等，展示了现代高技术兵器的特征，具有较强的知识性、科学性、可读性。,E,2000.05
坦克战,瑞典克赖斯特乔根森，英克里斯曼孔鑫译,北京国际文化出版公司,坦克学科战争史地点世界年代世纪坦克战争史,本书通过对历史上重大坦克战役的深刻探讨，分析了众多坦克战役中所使用的坦克战术，通过大量翔实的战地图片，展示了坦克驰骋在欧洲、非洲与亚洲战场上的雄姿。,E,2005.08
世纪尖端武器图典,褚良才主编,杭州浙江少年儿童出版社,武器地点世界武器,本书精选近五百幅珍贵稀见的精美图片，分成微型武器、隐性武器、未来士兵武器、轻武器、飞机、导弹等十二个类别。,E,2001.04
点击星际天网太空武器,吕彬，金凯编,太原山西科学技术出版社,航天武器地点世界航天武器,本书从太空武器的使用和发展历程入手，分析其构成，剖析其相关技术特点，使大家对天基武器有一个从直观形象到比较理性专业的认识。,E,2003.01
解析蓝天几何战机,袁静伟，孟庆全编,太原山西科学技术出版社,军用飞机地点世界军用飞机,本书向读者介绍了蓝天卫士歼击机、巨型恶魔轰炸机、空中大力士军用运输机等军用飞机所涉及的科学道理以及最新的技术成果。,E,2003.01
跻身三尺密舱潜艇,吴凤鸣，杨卫民编,太原山西科学技术出版社,潜艇地点世界潜艇,本书从普及兵器知识出发，不仅对潜艇进行了宏观发展上的分析，而且对潜艇的结构、工作原理也进行了较为详细的介绍。,E,2003.01
踏足流动国土水面舰艇,张玉坤，曲涛编,太原山西科学技术出版社,军用船地点世界军用船,本书以水面舰艇的科技发展为主线，结合海军人物、事件、经典战例，深入浅出地介绍了舰艇的发展历程、舰艇结构、作战使用、未来发展等问题。,E,2003.01
闪电之闪终极战机发展全程实录,美比尔斯威特曼杨晨光译,北京军事谊文出版社,歼击机研制概况美国,作为首批从绘图阶段起就开始应用信息技术的重要战斗机项目，可以实现真正的自动驾驶。在高精度传感器和仪表盘的帮助下，飞行员可以专心完成作战任务。本书将带您进入联合攻击战斗机的座舱，详细地了解这架飞机，体验高技术战术控制系统的真实感受。,E,2011.09
中国兵器史,周纬,北京中国友谊出版公司,武器发展史研究中国古代,中国兵器史作为我国第一部系统研究古代兵器史的拓荒之作，内容宏富，资料详瞻，其中许多见解与论述至今仍广受重视，其价值自不待言。中国兵器史完成后的几十年中，考古工作者发掘的不少前所未见的兵器实物，在兵器史研究的宏观与微观层面也取得了大量成果，我们对于古代兵器的认识已较作者创作本书之时大大向前推进，在某些具体问题上也有与本书不同的看法，这一点，望读者阅读时留意。中国兵器史为使读者对书中论述的问题获得更全面的认识，编者还补充了部分考古发掘所得兵器实物及相关资料图片，置于卷首，供古代兵器的研究者和爱好者,E,2010.04
坦克发展史,英罗杰福特,北京中国市场出版社,坦克发展史世界,本书详细介绍了各型坦克的发展和使用情况，其中包括研发背景、设计特点和相关的具体战例。还对各制造商和各国出产的每一型号坦克进行比较，让读者仔细体会坦克设计和制造中的差异。百幅坦克工艺图详尽介绍了各型的主要战术指标。,E,2010.08
竖琴计划美国最后的阴谋,美杰里史密斯,南京江苏文艺出版社,军事工程研究美国,本书是关于一个由美国军方支持的庞大的军事工程计划，简称。作者对项目进行了深入调查，采访了大量项目工程负责人和工作人员，调查的结果证实了之前的推断，的目的就是为了研制大型电磁武器。这种武器的威力在令人震惊的同时也感到恐怖，它能改变地球磁场并引发地震等大型地质灾害。,E,2013.12
兵器百科全书,张顺主编军事科学院军事百科研究部编,北京蓝天出版社,武器学科百科全书武器,全书共收条目个，配图幅，全面、完整、系统地介绍了轻武器、火炮、装甲车辆、导弹、战斗舰艇、作战飞机、化学武器等知识。,E,2005.12
枪炮传说,解习贵,南京江苏文艺出版社,武器军事史世界,这是一本历史书，不过不是写人，而是写枪炮，写枪炮如何从液态到固态，如何从幼颜到熟女，最后成为现在的模样的。就想艳舞女郎出台总会先露出一条腿，我先告诉你一个骇人听闻的历史事实枪和炮刚刚出现的时候其实是连体的，枪就是炮，炮就是枪。要是你已经知道了这个八卦，那我建议你继续往下看,E,2012.03
百年兵器从现代战争看,沈根林，赵宗九编,上海百家出版社,武器地点世界武器,本书结合多幅插图，将技术性能的介绍与武器装备问世的幕后新闻和成功的战例融为一体，突出武器装备发展的故事情节性、生动趣味性的特点。,E,2003.06
特种部队武器与装备,龚闽，端木栋林编,北京军事谊文出版社,特种部队学科武器装备地点世界特种部队,本书介绍了特种部队使用的单兵武器和装具、防暴武器和装具、陆上运输侦察工具、海上运载巡逻工具、空中作战运输工具、非致命性武器的概况、用途、特点、主要战术技能和研制情况。,E,2007.01
战舰,英伊安麦克肯基李彦译,上海上海人民美术出版社,军用船地点世界军用船,本书主要介绍什么是战舰由军用到军商两用大帆船至世纪新型帆装与船只类型航空母舰等历史知识。,E,1984.03
兵器辞典,刘登荣等编,北京农村读物出版社,武器学科词典,本辞典按时间顺序分为古代、近代、现代三大部分并分类编纂为枪械、火炮、装甲车辆、舰船、航空器、导弹、火箭、航天器、核、化学和生物武器等类。,E,1988.04
追踪裂变光环核武器,李伟，徐宏编,太原山西科学技术出版社,核武器地点世界核武器,本书分为核武器中群雄逐鹿、原子深处五毒俱全、威风核弹再谱新篇三个部分，通俗地讲述了核武器的有关知识。,E,2003.01
海军兵器,苏士亮编,北京中国少年儿童出版社,海军武器地点世界海军武器,本书根据青少年摄取知识的特点，采用问答的形式，分个方面，图文并茂地回答了有关海军兵器的知识题问。,E,2002.05
德国空军喷气战斗机全集,红线编,北京中国民航出版社,喷气式飞机学科战斗机地点德国喷气式飞机战斗机,本系列丛书参考了大量最新解密的资料，系统地介绍了德国在第二次世界大战中所有型号的战斗机。所有线图均为标准或工作比例，细节及史料图片超过张。,E,2003.07
漫谈武器与战争,李云子,北京解放军文艺出版社,武器关系战争学科普及读物战争武器学科,书中运用漫谈形式从古到今从中国到外国叙述了武器与战争的关系和发展状况以及未来战争的趋向。,E,1992.11
南山谷口考校注,清毛凤枝撰李之勤校注,西安三秦出版社,军事地理秦岭学科军事地理年代古代秦岭,本书是目前仅有的一部专门论述陕西关中南山北侧诸河谷及其出口附近的守备，与陕西关中、尤其是古都西安安危关系的军事历史地理著作。,E,2006.01
