书名,作者,出版社,关键词,摘要,中国图书分类号,出版年月
南宋时期浙江医药的发展,朱德明著,北京中医古籍出版社,中国医药学学科医学史地点浙江省年代南宋中国医药学医学史,本书较全面地阐述了浙江医药发展的梗概，以较高的哲学抽象思辨和纪事本末体描绘南宋时期浙江医药发展的脉落。,R,2005.05
医学伦理学,冯泽永主编,沈阳辽宁大学出版社,医学伦理学学科高等学校医学伦理学,世纪全国普通高等学校医药类公共课教材本书讲解了医德的基本原则、基本范畴、医德行为的选择、医德评价、医德修养、医疗人际关系中的道德、医德规范体系、临床医学实践中的道德等内容。,R,2012.01
中国医学史,甄志亚编写,北京中医古籍出版社,中国医药学医学史学科留学生教育学科教材医学史中国医药学学科留学生教育学科教材,高等中医药院校外国进修生教材英文题名本书简介了中国医药学两千多年发展历程和医史上许多著名医学家和辉煌的医学成就。,R,2006.06
本体与知识组织,胡兆芹著,北京中国文史出版社,医学哲学研究,本书从知识组织的定义、内容和模式分析了知识组织的内涵从本体的概念演变、组成要素、类型和作用等方面分析了本体的定义和其理论基础等。,R,2014.01
医学五千年外国医学史部分,谢德秋编著,北京原子能出版社,医学史学科普及读物医学史地点外国学科普及读物,本书共有小篇。介绍了外国医学发展中的重大事件和著名人物每篇独立构成一篇知识小品并配有插图。,R,1992.08
医学伦理学,李珑主编,北京法律出版社,医学伦理学学科医学院校学科教材伦理学医学学科医学院校学科教材,高等医药院校思想政治教育课系列教材本书以马克思主义伦理学的观点为指导详细论述了现代医学的伦理道德问题。涉及临床诊疗的道德原则与要求、优生优育的道德责任还结合医疗实践与典型事例论述了道德评价问题。同时还就现代生命伦理学涉及的新生殖技术性医学道德作了探讨。,R,2012.01
中国医学史研究,朱建平著,北京中医古籍出版社,中国医药学学科医学史学科研究中国医药学医学史,本书辑录中国医学史研究论文篇，论述了先秦、元、明、清、现代中医学的发展，收录历代名人与医学有关的言论，以及佛教、道教养生的介绍等。,R,2003.04
医学中的哲学问题,杨青，孙旭东著,天津天津社会科学院出版社,医学哲学,本书阐述了医学哲学思想斗争的历史揭示它的社会基础和哲学基础论述了生命观、人体观、疾病观的历史演变和唯物辩证法对医学发展的指导作用等。,R,1991.07
医学伦理学,杨放等编著,上海第二军医大学出版社,医学伦理学,本书较为详细地介绍了医学伦理学和医学职业道德的内容。主要内容有医德的产生与历史发展医德的基本原则、规范和范畴医患关系医院管理道德生命道德人体实验道德等。,R,2012.01
医学伦理学学习指导,李本富主编,北京北京医科大学、中国协和医科大学联合出版社,医学伦理学学科医学院校医学伦理学,教育部人才培养模式改革和开放教育试点教材高等医学院校卫生事业管理专业辅导教材本书内容包括章，与主教材配套使用。每章结构为，第一部分重点和难点第二部分测试练习题，共有六种题型，即名词解释题、填空题、型选择题、型选择题、问答题、案例分析题第三部分测试练习题的参考答案。,R,2002.08
医学软科学新学科辞典,孙慕义主编,北京西安世界图书出版公司,医学跨学科学学科词典跨学科学医学学科词典,本辞典收录了最新学科门。阐述了各学科的研究对象、形成、内容、与其它学科的关系及国外发展趋势等。,R,1992.05
医学论,陈巽昭，白正林主编,保定河北大学出版社,医学学,介绍了医学及其学科性质、医学的起源和发展、医学范畴、医学技术、医学模式的转变、医学的发展趋势等。,R,1993.01
西医往事,慕景强著,北京中国协和医科大学出版社,医学教育教育史中国民国,本书内容虽属历史性的西医教育研究，但其意义既非纯粹的西医历史故事，也绝非完全的历史研究。本书写作的主要目的便是重新去追寻那段历史，尽量去还原历史的本来面目，从中探寻民国西医教育逐渐本土化的发展脉络，总结得失，给历史以应有的尊重。全书图文并茂，述评艰巨，既有较高的史料价值，也有一定的阅读趣味。,R,2010.07
生命的凝视生命伦理学青少年读本,北京师范大学附属中学生物教研组编著,北京教育科学出版社,生命科学医学伦理学青少年读物,对于生命伦理学我知之甚少，更无真知灼见。只能从教育的角度来作一些提示。其一是生命伦理学涉及人生观、价值观、世界观、自然观、文明观等一系列理论问题，是很复杂的，可以交流探讨。但教学中一定要注意不要背离我国社会所倡导的核心价值体系，以免产生混乱。其二是生命科学和生物技术发展很快，社会的需求变化也很快，同一问题，今日的理解、实践和往日就可能不同，生命伦理学的教学亦当与时俱进。本书所列的个专题，都可能需要随时地补充和更新，还会有新的专题要增加。其三是生命伦理学的永恒主题是对生命的态度和价值取向。如后记中所说生命的存在是人类一切活动的基础，生命的质量是人类进步的基础。尊重生命肯定是生命伦理学的更多对于生命伦理学我知之甚少，更无真知灼见。只能从教育的角度来作一些提示。其一是生命伦理学涉及人生观、价值观、世界观、自然观、文明观等一系列理论问题，是很复杂的，可以交流探讨。但教学中一定要注意不要背离我国社会所倡导的核心价值体系，以免产生混乱。其二是生命科学和生物技术发展很快，社会的需求变化也很快，同一问题，今日的理解、实践和往日就可能不同，生命伦理学的教学亦当与时俱进。本书所列的个专题，都可能需要随时地补充和更新，还会有新的专题要增加。其三是生命伦理学的永恒主题是对生命的态度和价值取向。如后记中所说生命的存在是人类一切活动的基础，生命的质量是人类进步的基础。尊重生命肯定是生命伦理学的主旋律。然而，大家都知道这个名句生命诚可贵，爱情价更高若为自由故，二者皆可抛。要让生命有意义，是为人民、为民族、为国家、为人类去奋斗，去创造，在这个历程中，迸发出生命的光华。隐藏更多,R,2009.09
盖仑西医现代化的创始人,王台编著,天津天津科技翻译出版公司,医学史古希腊医学家医学思想古希腊医学史医学家医学思想,本书评注了古罗马时代著名的医学家盖仑的六本主要著作和一些重要论文，涵容了他在解剖学、生理学、病因病机、疾病和症状、诊断学、治疗学和预后等各个方面的学术成就。,R,2009.04
医德心理学,张文等著,北京军事医学科学出版社,医学伦理学道德心理学道德心理学医学伦理学,医德的运行不仅有着你刻的实践基础，而且有着深刻的心理和行为基础。医德行为是在融知、情、意一体的前提厂，形成需要和动机的。因此，本书按照新的医学模式和新时期医疗卫生保健的发展规律，力图从心理学的角度出发，探讨医德形成和医德运行的心理机制以及医德的心理建设等。,R,1992.02
医学史话,朱建平，黄健著,北京中国大百科全书出版社,中国医药学医学史医学史中国医药学,本书分个话题，重点叙述了我国医药学发展史上一些医药学家，如扁鹊、张仲景、华陀、孙思邈、李时珍等，以及他们的代表性医学著作、医药学说、医疗技术成就等。,R,2000.01
医学与人类文化,邱鸿钟著,广州广东高等教育出版社,医学社会学学科文化社会学医学社会学文化社会学,本书阐述了中西医学童年期的思想史与学术史的脉络以及契合于各自民族特征的文化精神，揭示了中西医学沟通、互补的内在动因与文化隔膜，展示了大文化背景下医学的惯性、蠕动与衍化趋势。,R,2004.11
医务人员职业道德,李春生等主编,沈阳辽宁大学出版社,医药卫生人员职业道德职业道德医药卫生人员,本书分十七章。包括道德概述、社会主义医德的基本原则和主要规范、临床医务人员道德、性道德等章目。,R,1986.08
整合医学理论与实践,樊代明,北京西安世界图书出版公司,医学研究,本书是整合医学系列图书的第四册。全书从整合感染病学、整合航空航天医学、整合急救医学、整合检验医学、整合生殖医学、整合心身医学等多方面细分阐述了整合在医学中的重要作用，旨在进一步强化整合医学理念。各部分内容是相关医学领域的院士和专家倾力精心编纂而成的，通过临床中整合概念的实践，在理论上再进行总结探讨，进而推进整合医学的践行。书稿内容丰富，涉及面广，可读性强，对医务工作者有开拓性指导意义，在医学领域具有很强的引领性。,R,2018.04
整合医学理论与实践,樊代明,北京西安世界图书出版公司,医学研究,基本信息商品名称整合医学理论与实践出版社世界图书出版公司北京公司出版时间作者樊代明译者开本开定价页数印次号商品类型图书版次导航内容简介内容简介,R,2018.04
张锡纯学术思想研究辑要,杨付明撰著,武汉湖北人民出版社,张锡纯中医学学术思想研究,本书共分六章，内容包括张锡纯学术思想渊源张锡纯学术思想的基本构架张锡纯学术思想对后世的影响近百年的张锡纯学术思想研究等。,R,2011.05
中国卫生政策,郭岩主编,北京北京大学医学出版社,卫生工作方针政策中国汉、英,本书着重阐述了如何应用基本理论和国际经验来解决中国面临的卫生政策方面的挑战。全书共分为个部分第一部分阐述了当前卫生政策制定的相关情况，包括其历史、近期的变革以及面临的挑战等第二部分介绍了一系列关于政策理论的研究分析、发展、执行和评价第三部分为案例分析，强调了中国政策制定者在中国特有国情下，应用前面所提到的各种理论时所遇到的问题。本书为中英文双语对照，以其特有的形式，将中外各国学者的观点有机地结合到了一起。,R,2010.04
生命伦理学基础,英恩格尔哈特著范瑞平译,北京北京大学出版社,生命科学医学伦理学研究,生命伦理学基础是生命伦理学领域的奠基之作，也是该领域最富有权威性的著作。本书对生命伦理学领域中最为根本的问题进行了深入地讨论。,R,2006.08
死亡的尊严与生命的尊严,傅伟勋著,北京北京大学出版社,死亡学科研究死亡,本书除了从科际整合的宏观角度把死亡学连贯到精神医学、精神治疗、哲学、宗教学乃至一般科学，以便揭示死亡学研究的现代意义之外，更进一步从作者研究半生的世界各大宗教传统，特别是耶、佛、儒、道诸家，汲汲观照生死，观照生命的尊严与死亡的尊严，了脱生死的智慧，并以此来探讨人的死亡问题及精神超克，以及生死的终极意义。,R,2006.06
医学人文十五讲,王一方著,北京北京大学出版社,医学学科人文科学医学人文科学,本书内容包括医学人文的概念与边界、现代医学的人文审视、消费时代的医学人文价值、当代医学史与思想史发凡、中国传统医学人文的终结等。,R,2006.07
程之范医史文选,简介程之范，北京大学医史学研究主任，医史学教授，博士研究生导师。中华医史学会名誉主任委员。中华医史杂志名誉总编辑。毕业于北京大学医学院医学系，年留医史学科教研室任助教、讲师、副教授、教授、自年后，一直负责原北京医科大学今北京大学医学部医史教研室工作，主讲本科生和研究生的中外医学史课程。程之范是我国西医院校唯一的一名医学史专业博士研究生导师。在国内外杂志发表论文百余篇，撰稿、参编和主编的书籍余部。曾任卫生部科技委员会委员、自然科学史研究等多种杂志编委。,北京北京大学医学出版社,医学史学科研究地点世界医学史,本书是作者的中外医史论文集，涉及医学史研究的方法、理论，及关于医学人物、学科发展等方面的中外医学史研究。,R,2004.05
从望闻问切到戊肝疫苗,葛红亮编著,上海上海科学普及出版社,中国医药学医学史普及读物,本丛书全景描绘中华五千年科技发展历程，带领读者沿循华夏历史中的科技发展足迹，寻觅人类社会中闪亮，时间脉络，追忆那些智慧生命，回首中瞻仰、缅怀，自信中展望、憧憬。本书浓缩了祖国医学理论的基本特点和祖国医药文化的发展脉络，充分展现了祖国医药文化的内涵和外延，同时也展示祖国医药文化博大精深的独特魅力。,R,2014.03
皇宫医疗那些事儿,紫禁城杂志编辑部编,北京紫禁城出版社,宫廷中国医药学医学史,本书以紫禁城杂志太医专题为基础成书，分神圣岂能在、调方最近情、存诚慎药性、仁术尽平生四个章节，聚合医疗史、宫廷历史、中医药学、等领域学者研究成果，集中介绍了紫禁城中皇家医疗及古代中国医药事务。主要内容分别为中国国家医疗卫生体系发展与医疗机构设施、疫病防治措施的进程皇家医术的治病强身之法与养生美容之道、宫廷药材与药具的种类、功用及源流以及太医们的职责与命运。从古至今，医疗永远是民生大事。御医工作从属于古代国家医疗建制，自有,R,2014.11
一个医生的序言,郎景和著,北京中国协和医科大学出版社,医学伦理学,本书为医学伦理专著。,R,2014.01
拯救人类的医学发现,王彩霞主编,北京军事医学科学出版社,医学史世界普及读物,本书记述了医学发现过程中的重要历史人物、重大事件。医学的每一个发现都离不开相应时代的哲学理念、思想潮流、自然科学、社会生活、文化发展等社会历史背景对医学的影响。本书力求通过运用科学的论述方式，为读者展现每一个真实的、生动的医学发现过程。,R,2013.01
自古迄北宋时期浙江医药史,朱德明著,北京中医古籍出版社,中国医药学医学史浙江省先秦时代北宋,自古迄北宋时期浙江医药史共分章第一章先秦时期浙江医药学，第二章秦汉时期浙江医药学，第三章三国两晋南北朝时期浙江医药学，第四章隋唐五代十国时期浙江医药学，第五章北宋时期浙江医药学。浙江医药从无到有，起源绵延。尤其楔人北宋，更是进人了辉煌时期，在中华中医药发展史上谱写了优美的乐章。自古迄北宋时期浙江医药史从政治、经济、文化、军事、习俗等各种视角对自古迄北宋时期浙江医药卫生的起源与发展进行了多角度的综合研究，将其置于当时社会历史背景下探究，彰显了它与政治、经济、文化等多种外部因,R,2013.02
扁鹊、华佗、服石及其他,何爱华编,北京中国协和医科大学出版社,医学史世界文集,本书是何爱华医学史论文集。,R,2013.03
